priority,segment,name,region,email,phone,website,why_fit,utm_link,source_url,notes
3,dental_lab,트리플선치과,"경기도 안양시 동안구 관악대로 480, 우정타운502",triplecyto@naver.com,031-360-2279,http://triplesun.co.kr/,치과/기공 공개 구인 관련 공개 구인 이력; 안양최고우대/경력 진료실 선생님 모십니다 (남여 무관)/ 근무 35.5시간,https://dental-fit.vercel.app/?utm_source=%ED%8A%B8%EB%A6%AC%ED%94%8C%EC%84%A0%EC%B9%98%EA%B3%BC&utm_medium=email&utm_campaign=pretotype_v1#signup,https://new.job2804.com/employ_view.php?serial=24972,JOB2804 공개 구인 연락처; 채용 메일이므로 현장 의견 요청 톤 권장
3,dental_lab,비타민치과,"서울시 구로구 개봉로 63, 2층",vitamin.msy@gmail.com,010-2959-9584,http://www.vitamindental.com,치과/기공 공개 구인 관련 공개 구인 이력; [구로구 개봉동] 진료실 기공사선생님 구인합니다.,https://dental-fit.vercel.app/?utm_source=%EB%B9%84%ED%83%80%EB%AF%BC%EC%B9%98%EA%B3%BC&utm_medium=email&utm_campaign=pretotype_v1#signup,https://new.job2804.com/employ_view.php?serial=24968,JOB2804 공개 구인 연락처; 채용 메일이므로 현장 의견 요청 톤 권장
3,dental_lab,에이치투치과기공소,서울 성동구 아차산로17길 57 일신건영휴먼테코 202호,yonortho2025@naver.com,02-6466-5110,,치과기공소/기공실 관련 공개 구인 이력; 교정기공소입니다. 신입 및 경력직 구합니다.,https://dental-fit.vercel.app/?utm_source=%EC%97%90%EC%9D%B4%EC%B9%98%ED%88%AC%EC%B9%98%EA%B3%BC%EA%B8%B0%EA%B3%B5%EC%86%8C&utm_medium=email&utm_campaign=pretotype_v1#signup,https://new.job2804.com/employ_view.php?serial=24966,JOB2804 공개 구인 연락처; 채용 메일이므로 현장 의견 요청 톤 권장
3,dental_lab,F&B치과기공소,부산시 동래구 여고로,jun7104@nate.com,051-504-6397,,치과기공소/기공실 관련 공개 구인 이력; 졸업생기사님 구합니다.,https://dental-fit.vercel.app/?utm_source=f_b%EC%B9%98%EA%B3%BC%EA%B8%B0%EA%B3%B5%EC%86%8C&utm_medium=email&utm_campaign=pretotype_v1#signup,https://new.job2804.com/employ_view.php?serial=24957,JOB2804 공개 구인 연락처; 채용 메일이므로 현장 의견 요청 톤 권장
3,dental_lab,성진치과기공소,창원시 의창구 도계동,sungjin2804@naver.com,010-4628-7422,,치과기공소/기공실 관련 공개 구인 이력; 덴쳐파트 기사님 구인합니다.,https://dental-fit.vercel.app/?utm_source=%EC%84%B1%EC%A7%84%EC%B9%98%EA%B3%BC%EA%B8%B0%EA%B3%B5%EC%86%8C&utm_medium=email&utm_campaign=pretotype_v1#signup,https://new.job2804.com/employ_view.php?serial=24958,JOB2804 공개 구인 연락처; 채용 메일이므로 현장 의견 요청 톤 권장
3,dental_lab,주)덴탈코아기공소,"부산광역시 수영구 광남로 52, 4층(남천동)",ryul2804@naver.com,051-624-0075,,치과기공소/기공실 관련 공개 구인 이력; 캐드캠 디자인 기사님 구합니다.,https://dental-fit.vercel.app/?utm_source=%EC%A3%BC_%EB%8D%B4%ED%83%88%EC%BD%94%EC%95%84%EA%B8%B0%EA%B3%B5%EC%86%8C&utm_medium=email&utm_campaign=pretotype_v1#signup,https://new.job2804.com/employ_view.php?serial=24955,JOB2804 공개 구인 연락처; 채용 메일이므로 현장 의견 요청 톤 권장
3,dental_lab,솔기공소,경기 안양시 동안구 관양동 멤피스 타워 3층 솔기공소,hyungpyo75@hanmail.net,010-9036-3678,,치과기공소/기공실 관련 공개 구인 이력; 빌드업 알바 및 캐드파트구합니다,https://dental-fit.vercel.app/?utm_source=%EC%86%94%EA%B8%B0%EA%B3%B5%EC%86%8C&utm_medium=email&utm_campaign=pretotype_v1#signup,https://new.job2804.com/employ_view.php?serial=24948,JOB2804 공개 구인 연락처; 채용 메일이므로 현장 의견 요청 톤 권장
3,dental_lab,꿀벌치과기공소,"서울 강북구 미아동 860-140, 2층",ccc4125@naver.com,029869932,,치과기공소/기공실 관련 공개 구인 이력; 덴쳐 신입 ㅡ저년차 구인합니다,https://dental-fit.vercel.app/?utm_source=%EA%BF%80%EB%B2%8C%EC%B9%98%EA%B3%BC%EA%B8%B0%EA%B3%B5%EC%86%8C&utm_medium=email&utm_campaign=pretotype_v1#signup,https://new.job2804.com/employ_view.php?serial=24943,JOB2804 공개 구인 연락처; 채용 메일이므로 현장 의견 요청 톤 권장
3,dental_lab,치과기공소 가은,대구 동구 동화천로 70길 39 연경썬프라자 7층 치과기공소 가은,yeondu1124@naver.com,053-981-1828,,치과기공소/기공실 관련 공개 구인 이력; 인원충원합니다.,https://dental-fit.vercel.app/?utm_source=%EC%B9%98%EA%B3%BC%EA%B8%B0%EA%B3%B5%EC%86%8C_%EA%B0%80%EC%9D%80&utm_medium=email&utm_campaign=pretotype_v1#signup,https://new.job2804.com/employ_view.php?serial=24938,JOB2804 공개 구인 연락처; 채용 메일이므로 현장 의견 요청 톤 권장
3,dental_lab,라인즈치과,부산 기장군 일광읍 해빛1로 5 센텀타워 3층,cherish329@hanmail.net,010-9403-7316,,치과/기공 공개 구인 관련 공개 구인 이력; 부산)라인즈치과 보철팀 치과기공사 채용공고,https://dental-fit.vercel.app/?utm_source=%EB%9D%BC%EC%9D%B8%EC%A6%88%EC%B9%98%EA%B3%BC&utm_medium=email&utm_campaign=pretotype_v1#signup,https://new.job2804.com/employ_view.php?serial=24927,JOB2804 공개 구인 연락처; 채용 메일이므로 현장 의견 요청 톤 권장
