priority,segment,name,region,email,phone,website,why_fit,utm_link,source_url,notes
1,dental_lab,Zircamp 치과기공소,서울 송파구,zcamp@daum.net,010-9979-4052,https://www.zircamp.com/,"5축 지르코니아 밀링, Roland DWX-52D, 디지털 워크플로우 명시","https://dental-fit.vercel.app/?utm_source=zircamp&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.zircamp.com/,"공식 문의 이메일"
1,dental_lab,지플란트 치과기공소,서울 광진구,zirman@naver.com,02-6949-5501,https://www.zplantlab.com/,"Digital Center, 지르코니아 소결로, 전국 배송 명시","https://dental-fit.vercel.app/?utm_source=zplant&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.zplantlab.com/,"일반 공식 이메일"
1,dental_lab,지플란트 치과기공소 구강스캔전용,서울 광진구,zirman2@naver.com,02-6952-2291,https://www.zplantlab.com/,"구강스캔 전용 라인, 디지털 케이스 흐름 확인 가능","https://dental-fit.vercel.app/?utm_source=zplant_scan&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.zplantlab.com/,"같은 회사라 중복 발송은 피하고 한 메일만 권장"
1,dental_lab,아이디얼 치과기공소,미확인,make28@naver.com,,https://ideallab.co.kr/,"zirconia, CAD/CAM, 3D printer, 3Shape/Medit/Sirona 연결 계정 명시","https://dental-fit.vercel.app/?utm_source=ideal_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://ideallab.co.kr/,"스캔데이터 연결 계정이라 짧고 정중하게 발송"
1,dental_lab,베스트 치과기공소,경기 의정부,bestdentallab101@gmail.com,031-821-2492,https://best-dentallab.com/,"CAD/CAM 시스템, 지르코니아, 전국배송, 연구전담부서 명시","https://dental-fit.vercel.app/?utm_source=best_dentallab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://best-dentallab.com/,"공식 이메일"
1,dental_lab,네츄럴라인 치과기공소,서울,naturalline3@naver.com,02-517-2810,https://www.ivoclar.com/ko_kr/academy/courses-technical/technical05,"Ivoclar 지르코니아 보철물 과정 주관, CAD/CAM 파트 언급","https://dental-fit.vercel.app/?utm_source=naturalline&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.ivoclar.com/ko_kr/academy/courses-technical/technical05,"교육/임상 네트워크로도 가치 높음"
1,dental_lab,강냉이.com 디지털 치과기공소,서울 은평구,kangdoc80@naver.com,02-358-2804,https://www.kangnange.com/contact,"디지털 치과기공소, 기공장비/케이스 의뢰 페이지 운영","https://dental-fit.vercel.app/?utm_source=kangnange&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.kangnange.com/contact,"공식 문의 이메일"
1,dental_lab,Able Dental Lab,서울 영등포구,maketeeth@naver.com,070-7576-2806,https://abledental.aramcomms.com/bbs/content.php?co_id=about,"zirconia crowns, abutments, emax inlays 등 제작 분야 명시","https://dental-fit.vercel.app/?utm_source=able_dental&utm_medium=email&utm_campaign=pretotype_v1#signup",https://abledental.aramcomms.com/bbs/content.php?co_id=about,"공식 이메일"
1,dental_lab,B&G 덴탈랩,경기 안양,bng28900@naver.com,031-466-2805,https://bngdentallab.com/,"Full Digital Workflow, 밀링/가공/검수, 지르코니아/All-on-X 명시","https://dental-fit.vercel.app/?utm_source=bng_dentallab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://bngdentallab.com/,"공식 문의 이메일"
2,partner_or_lab,하이밀링 코리아,경기 하남,himilling@naver.com,031-699-8839,https://himilling.com/,"모델리스, 지르코니아, CNC/MCT, 덴탈랩 키워드 다수; 직접 사용자보다 파트너 후보","https://dental-fit.vercel.app/?utm_source=himilling&utm_medium=email&utm_campaign=pretotype_v1#signup",https://himilling.com/,"파트너/소개 요청용으로 적합"
2,dental_lab,글래드치과기공소,울산 중구,gladdtlab@naver.com,010-2843-5654,,"3Shape 모델리스 커스텀어버트와 zirconia CAD/CAM 디자인 구인 이력","https://dental-fit.vercel.app/?utm_source=gladdtlab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24757,"JOB2804 공개 구인 연락처; 현장 의견 요청 톤 권장"
2,dental_lab,다올치과기공소,부산 수영구,bogundt@naver.com,051-743-3636,,"캐드캠 전문 기공소로 공개 구인 이력","https://dental-fit.vercel.app/?utm_source=daol_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.job2804.com/employ_view.php?serial=24507,"JOB2804 공개 구인 연락처"
2,dental_lab,U치과기공소,경기 화성,u2804@naver.com,031-202-2855,,"CAD 보조 및 캐드캠 파트 공개 구인 이력","https://dental-fit.vercel.app/?utm_source=u_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24452,"JOB2804 공개 구인 연락처"
2,dental_lab,GD Lab 강남점,서울 강남구,smilegatelab@naver.com,02-540-2804,,"Full Zirconia Custom ABT Hybrid inlay 등 CAD/CAM 업무 명시","https://dental-fit.vercel.app/?utm_source=gd_lab_gangnam&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.job2804.com/employ_view.php?serial=24296,"JOB2804 공개 구인 연락처"
2,dental_lab,에이스코리아 치과기공소,경기 부천,acekorealab@naver.com,032-215-1500,,"CAD/CAM 파트 신입 및 경력 구인 이력","https://dental-fit.vercel.app/?utm_source=ace_korea_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24632,"JOB2804 공개 구인 연락처"
2,dental_lab,에이스코리아 치과기공소 보조연락처,경기 부천,blount@naver.com,032-215-1500,,"CAD/CAM 파트 메인 및 서브 채용 공고의 별도 공개 이메일","https://dental-fit.vercel.app/?utm_source=ace_korea_lab_2&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24231,"같은 업체 중복 발송 피하고 1개만 사용"
2,dental_lab,NP치과기공소,충남 천안,wooki1103@naver.com,041-568-2875,,"EXO CAD 기반 캐드캠 원스텝 디자인 구인 이력","https://dental-fit.vercel.app/?utm_source=np_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24180,"JOB2804 공개 구인 연락처"
