제품명,회사,카테고리,지역,가격,가격유형,비고
치카공,치카톡(DENIT),1_유사포지션,국내,32900,월정액,"연간결제 시 361,900원(13개월 사용). 회계관리자 2명 포함. 전자세금계산서 5건 포함"
레인드롭,TeamK,1_유사포지션,국내,20000,월정액,"클라우드/서버 버전 선택 가능. 수주·납품·전자세금계산서 관리"
DoYourLab,DoYourLab,1_유사포지션,국내,"Basic/Standard/Premium",월정액,"클라우드 기반 올인원 플랫폼. 플랜별 가격 비공개(상담 문의). 1개월 무료 체험"
Dental Pro,J2,1_유사포지션,국내,견적문의,견적문의,"치기공소 수주·납품·장부 관리 프로그램"
기공시스템,기공시스템(주),1_유사포지션,국내,견적문의,견적문의,"CAD/CAM 및 기공소 관리 솔루션. 가격 비공개"
이마고웍스 Dentbird,이마고웍스(주),1_유사포지션,국내,4,건당과금,"웹 기반 AI 치과 CAD. 크라운 익스포트 1건당 4크레딧($4≒약 5,800원). 재익스포트 무료. SaaS 방식 국내 기업. CAD 설계 특화(운영관리 ERP 아님)"
덴탈소프트 MES,덴탈소프트(라보텍),1_유사포지션,국내,견적문의,견적문의,"치과 기공소 케이스·작업사진 관리 앱. Freemium 모델. 모바일 중심. 가격 비공개"
덴티큐브,큐클릭,1_유사포지션,국내,견적문의,견적문의,"OCR 기반 기공 의뢰서 자동 디지털화·장부 자동 정리. AI 청구 관리. 가격 비공개(상담문의). 중기부 팁스 선정(2024)"
SimpleLabOS,SimpleLabOS,1_유사포지션,글로벌,29,월정액,"Starter $29/월 · Standard $69/월 · Pro $149/월. USD 기준. 셋업비 $0"
Lab to Dent,Lab to Dent,1_유사포지션,글로벌,65,월정액,"Standard+Accounting €65/월(연간 €54/월). Milling추가 €115/월. EUR 기준"
MyDentLab,MyDentLab,1_유사포지션,글로벌,25,월정액,"€25/사용자/월. 월·연간·영구 라이선스 선택 가능. EUR 기준"
Evident,Evident Digital,1_유사포지션,글로벌,99,월정액,"시작가 $99/월. 클라우드 기반. 대형 기공소 ERP급. USD 기준"
LabStar,3Shape(구 LabStar),1_유사포지션,글로벌,150,월정액,"약 $150~300/월 + 셋업비 $1000~2000. 2023년 3Shape에 인수. USD 기준"
TrazaLab,TrazaLab,1_유사포지션,글로벌,29,월정액,"Professional $29/월/기공소. 투명 공개 가격. USD 기준"
GreatLab,GreatLab,1_유사포지션,글로벌,45,월정액,"약 $45/월 시작(비공개). 현재 대기자 명단 운영 중"
Seazona,Seazona,1_유사포지션,글로벌,69,월정액,"Starter $69/월(300케이스·5유저). Professional $99/월(600케이스·15유저). USD 기준"
Labtrac,Labtrac,1_유사포지션,글로벌,견적문의,견적문의,"영국 기반. 데스크톱·클라우드 버전. 가격 비공개"
3Shape Dental System,3Shape,2_규모있는소프트웨어,국내,견적문의,견적문의,"기공소용 CAD 소프트웨어. 국내 유통사 통해 공급. 공식 가격 비공개"
exocad DentalCAD,exocad(Align Technology),2_규모있는소프트웨어,국내,견적문의,견적문의,"국내 리셀러 통해 공급. 해외 기준 €4,830~€10,800 퍼페추얼. 국내가 미공개"
Ceramill Mind,Amann Girrbach,2_규모있는소프트웨어,국내,견적문의,견적문의,"CAD 소프트웨어. 렌탈/구매 선택 가능. 국내 공급가 비공개"
3Shape Dental System,3Shape,2_규모있는소프트웨어,글로벌,1750,연간,"연간 갱신비 약 $1,750~$2,600(Premium + 모듈에 따라 상이). USD 기준. 초기 라이선스 별도"
exocad DentalCAD (Core),exocad(Align Technology),2_규모있는소프트웨어,글로벌,4830,라이선스,"퍼페추얼 Core Lab €4,830. Implant Bundle €7,140. Ultimate Bundle €10,800. EUR 기준(VAT 별도)"
exocad DentalCAD (Upgrade),exocad(Align Technology),2_규모있는소프트웨어,글로벌,910,연간,"연간 업그레이드 계약 $910/년. USD 기준"
Dentsply Sirona inLab CAD,Dentsply Sirona,2_규모있는소프트웨어,글로벌,견적문의,라이선스,"1회성 라이선스 + 모듈별 추가 구매. DS Core 구독 별도. 가격 딜러 문의"
Dental Wings DWOS,Dental Wings(Straumann),2_규모있는소프트웨어,글로벌,7500,라이선스,"퍼페추얼 라이선스 약 $7,500/시트~. 연간 유지보수 라이선스 대비 15~20%. 구독 옵션 $200/월~"
MillBox (ECO/Standard/Expert),CIMsystem,2_규모있는소프트웨어,글로벌,2360,라이선스,"ECO ~$2,360 / Standard ~$5,000 / Expert ~$10,000. 연간 업데이트 $1,200. USD 기준"
hyperDENT,FOLLOW-ME! Technology,2_규모있는소프트웨어,글로벌,5000,라이선스,"모듈형 라이선스 €5,000~€15,000(모듈 구성에 따라 상이). 연간 유지보수 별도. EUR 기준"
Ceramill Mind,Amann Girrbach,2_규모있는소프트웨어,글로벌,견적문의,견적문의,"구매/렌탈 선택 가능. 가격 비공개. Amann Girrbach 딜러 문의"
Planmeca Romexis CAD/CAM,Planmeca,2_규모있는소프트웨어,글로벌,견적문의,라이선스,"모듈형 소프트웨어. 가격 범위 $100~$500 이상(모듈별 상이). 딜러 문의"
